srr	title	group	n_reads	mean_len	median_len	n50	frac_lt_100	frac_gt_500	iqr	mean_qual
SRR29689537	A01	cancer	2397935	169.86256216286097	73.0	330	0.6486439373877941	0.0331877219357488	108.0	18.346682
SRR29689536	A02	cancer	2519440	226.2173733051789	81.0	608	0.5959756930111453	0.0597192233194678	133.0	18.03678
SRR29689535	A03	cancer	1525585	208.41294847550284	92.0	361	0.5324449309609101	0.0467748437484637	153.0	17.138758
SRR29689534	A04	cancer	2473601	183.5978745157364	95.0	282	0.5153789960466543	0.0316352556455143	166.0	17.427696
SRR29689533	A05	barretts	1845662	206.9098296437809	86.0	446	0.5883325332590691	0.0470877116178368	118.0	17.440725
SRR29689532	A06	barretts	2958717	227.3160660516028	103.0	365	0.4871476386555389	0.0489668325831771	153.0	16.506592
SRR29689531	A07	barretts	1854228	258.8248219744282	123.0	460	0.4365045722532504	0.0909575305733706	222.0	18.041546
SRR29689530	A08	barretts	2860230	209.82762330302108	90.0	384	0.543379728203676	0.0540977473839516	155.0	16.906578
SRR29689529	A09	control	1688225	357.8772870914718	141.0	837	0.4318648284440758	0.1566763908839165	296.0	18.41147
SRR29689528	A10	control	1275851	311.25527589036653	45.0	3539	0.7000833169390469	0.081124676784358	86.0	18.46383
SRR29689527	A11	control	1032519	414.7039250609432	102.0	3513	0.4941400594081077	0.1397310848517073	249.0	18.406656
SRR29689526	A12	control	912168	379.0211123389551	45.0	3546	0.7076766560545864	0.1020130063760184	82.0	18.415026
SRR29689525	B01	cancer	293307	240.32808968077816	87.0	689	0.5547225262267863	0.0721496588898321	153.0	17.442808
SRR29689524	B02	cancer	322818	259.1706534332038	95.0	606	0.5136454596707742	0.0993160232700778	205.0	17.711803
SRR29689523	B03	cancer	277560	228.5156326560023	73.0	962	0.5969412019022914	0.0642779939472546	134.0	17.154772
SRR29689522	B04	cancer	638809	202.33945514230388	86.0	372	0.5425080110017235	0.0591444391046463	172.0	16.772478
SRR29689521	B05	barretts	354026	235.54192912384968	46.0	901	0.6374983758255044	0.0782965092959274	133.0	18.994205
SRR29689520	B06	barretts	575973	205.65129268212223	86.0	401	0.5542273682967778	0.0602701862760928	164.0	16.227324
SRR29689519	B07	barretts	218429	231.9698391697073	46.0	1646	0.6909522087268631	0.0761025321729257	79.0	17.535135
SRR29689518	B08	barretts	705075	171.47869659256108	96.0	224	0.5137368365067546	0.0289033081587065	129.0	16.764305
SRR29689517	B09	control	477414	234.6139158047313	80.0	596	0.5761477459814752	0.0890610664957458	179.0	17.733788
SRR29689516	B10	control	451405	210.66191114409452	63.0	558	0.6024722809893555	0.0692969727849713	146.0	17.671314
SRR29689515	B11	control	292132	221.23981967055988	85.0	543	0.5657202908274341	0.0655046348910766	145.0	16.902693
SRR29689514	B12	control	10395	637.9034151034151	282.0	1465	0.2398268398268398	0.3528619528619529	626.0	18.153225
SRR29689513	C01	cancer	3723560	248.32201683335305	117.0	424	0.4453198014803038	0.0499836178280999	143.0	16.55965
SRR29689512	C02	cancer	3364186	365.1081560294229	114.0	3454	0.4488931349217909	0.0935355536227783	175.0	15.792788
SRR29689511	C03	cancer	3236442	408.9062971003343	150.0	2496	0.3663235738505432	0.1386312499961377	239.0	16.528189
SRR29689510	C04	cancer	4790251	265.4675137064843	108.0	502	0.4659119115052635	0.0693153657292697	167.0	15.038577
SRR29689509	C06	cancer	9120557	253.1797106251296	122.0	383	0.4177503632727694	0.0560839650473101	155.0	15.13069
SRR29689508	C07	cancer	3426123	392.39937532890673	152.0	2617	0.3777237419672323	0.1215621855957885	219.0	16.180328
SRR29689507	C08	barretts	6852276	278.798402603748	157.0	411	0.3269960229272726	0.0816042727992859	190.0	15.907098
SRR29689506	C09	control	3198690	389.1668773779266	168.0	1107	0.3602259049798511	0.1419628035226921	248.0	17.001553
SRR29689505	C10	control	2921569	393.4980238358224	80.0	3527	0.57354216176308	0.1164336697165119	161.0	16.836437
SRR29689504	C11	control	3761735	318.41923181723325	82.0	3526	0.6406240737319349	0.0831249410179079	82.0	14.614437
SRR29689503	C12	control	86063	182.86676039645377	47.0	436	0.6407864006599816	0.0395524209009678	99.0	15.166461
SRR29689502	D01	cancer	1694774	295.37481457704683	118.0	3318	0.4364086302952488	0.0604115947023024	123.0	12.905963
SRR29689501	D02	cancer	1529064	370.3411956595669	125.0	3350	0.4250070631445119	0.1057078055594795	195.0	12.615921
SRR29689500	D03	cancer	937749	398.105874812983	106.0	3477	0.4733718724306824	0.1043552165878076	168.0	12.402918
SRR29689499	D04	cancer	2102915	309.7927747911827	92.0	3408	0.5393760565690957	0.0752669508753325	144.0	11.565071
SRR29689498	D05	cancer	1384183	348.7662686219958	99.0	3412	0.5010645268725306	0.093027439290903	146.0	11.61917
SRR29689497	D06	barretts	2171946	308.4698417916468	83.0	3446	0.605130606377875	0.0794734307390699	117.0	10.983499
SRR29689496	D07	barretts	1316853	432.1448848125037	119.0	3430	0.4416438281266018	0.1343612384981467	220.0	11.999236
SRR29689495	D08	barretts	2956285	276.02856591972693	128.0	503	0.364476699641611	0.0733417109649441	158.0	11.896057
SRR29689494	D09	control	1504178	365.833739092049	124.0	2862	0.4465136439969205	0.1181130158797695	234.0	12.7382145
SRR29689493	D10	control	1330725	405.21291927332845	152.0	3383	0.382151834526292	0.1210535610287625	215.0	12.97475
SRR29689492	D11	control	1060884	456.0021161597309	114.0	3452	0.456641819463768	0.1443843059184604	228.0	12.05577
SRR29689491	D12	control	1174115	345.9145168914459	114.0	3357	0.4655259493320501	0.1007541850670505	203.0	13.092581
